,predicted_mean
2025-08-01,737.3811794320555
2025-09-01,749.283959578377
2025-10-01,752.2176701078267
2025-11-01,755.3505846440731
2025-12-01,755.3174870380216
2026-01-01,756.4984925785587
2026-02-01,754.9327727335315
2026-03-01,747.2687271490666
2026-04-01,743.1297824184619
2026-05-01,739.2683360615546
2026-06-01,743.6227008283269
2026-07-01,748.3226816404778
2026-08-01,753.2714581636454
2026-09-01,758.1815010441965
2026-10-01,757.3905900359158
2026-11-01,757.6956802812473
2026-12-01,757.4465999028856
2027-01-01,758.5440715682416
2027-02-01,757.6868939296489
2027-03-01,750.2825018813189
2027-04-01,746.4369965100444
2027-05-01,742.5384447977451
2027-06-01,746.854324524442
2027-07-01,751.4863426119036
